"NOMBRE";"SEXO";"AÑO.DE.NACIMIENTO";"G.PARLAMENTARIO";"ECIVIL";"NIVEL.ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"RANGO.EDAD"
"María Soraya, Rodríguez Ramos";"Mujer";1963;"PSOE";"Divorciado/a";"Educación Superior";"Valladolid";NA;NA;"Diputada. Profesora Universitaria Escuela de Relaciones Laborales en Valladolid. Eurodiputada. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). ";"55-59"
"Alberto, Rodríguez Rodríguez";"Hombre";1981;"Podemos";"Soltero/a";"Educación Superior";"Santa Cruz de Tenerife";NA;NA;"Diputado. Participación activa en movimientos sociales de la isla (derechos sociales, civiles, ambientales, etc). y en el movimiento obrero como representante sindical. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Trabajo, Migrac";"35-39"
"Carlos, Rojas García";"Hombre";1970;"PP";"Soltero/a";"Educación Superior";"Granada";NA;NA;"Diputado. Portavoz del Grupo Popular en el Parlamento de Andalucía. Vocal de la Diputación Permanente. Miembro de la Delegación española en la Conferencia para la PESC/PCSD.";"45-49"
"Pilar, Rojo Noguera";"Mujer";1960;"PP";"Casado/a";"Educación Superior";"Pontevedra";NA;NA;"Diputada. Miembro del Comité Ejecutivo Regional y del Comité de Dirección del Partido Popular de Galicia. Adscrita de la Comisión de Asuntos Exteriores desde el 31/10/2018 al 05/03/2019.";"55-59"
"Antonio, Roldán Monés";"Hombre";1983;"Ciudadanos";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Miembro de la dirección del grupo parlamentario y portavoz de economía de Ciudadanos. Analista jefe para el sur de Europa en Eurasia Group. Comentarista en medios internacionales. Vocal Suplente de la Diputación Permanente. ";"35-39"
"Carmelo, Romero Hernández";"Hombre";1958;"PP";"Casado/a";"Educación Superior";"Huelva";NA;NA;"Diputado. Vicepresidente Segundo de la Comisión de Transición Ecológica desde el 21/06/2018 al 05/03/2019. ";"60-64"
"María Eugenia, Romero Rodríguez";"Mujer";1970;"PP";"Casado/a";"Educación Superior";"Sevilla";NA;NA;"Diputada. Vicesecretaria de Economía y Empleo del PP de Sevilla. Coordinadora de organizaciones sociales del PP Andalucía.  Vicepresidenta Segunda de la Comisión de Hacienda desde el 10/09/2018 al 05/03/2019.";"45-49"
"Rosa María, Romero Sánchez";"Mujer";1970;"PP";"Casado/a";"Educación Superior";"Ciudad Real";NA;NA;"Diputada. Vicepresidenta de la Mesa del Parlamento de Castilla-La Mancha y portavoz del Grupo Popular en el mismo. Vocal de la Diputación Permanente. Vicepresidenta Tercera del Congreso de los Diputados desde el 19/07/2016 al 05/03/2019. Vicepresidenta Te";"45-49"
"María del Mar, Rominguera Salazar";"Mujer";1966;"PSOE";"Casado/a";"Educación Superior";"Zamora";NA;NA;"Diputada. Secretaria General de la Agrupación Local de Zamora PSOE. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";"50-54"
"Gabriel, Rufián i Romero";"Hombre";1982;"Esquerra Republicana";"Soltero/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Miembro Súmate. Ex Secretario ANC. Vocal de la Diputación Permanente. Portavoz de la Comisión de Investigación accidente ferroviario ocurrido en Santiago desde el 24/04/2018 al 05/03/2019.";"35-39"
"Joan, Ruiz i Carbonell";"Hombre";1954;"PSOE";"Casado/a";"Educación Superior";"Tarragona";NA;NA;"Diputado. Vocal de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";"65-69"
"Luis Carlos, Sahuquillo García";"Hombre";1966;"PSOE";"Divorciado/a";"Educación Superior";"Cuenca";NA;NA;"Diputado. Portavoz adjunto de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019. Director General de Servicios Sociales de la Consejería de Bienestar Social de la JCCM de 2001 a 2003.";"50-54"
"María Isabel, Salud Areste";"Mujer";1961;"Podemos";"Soltero/a";"2ª Etapa E.Secundaria con O.Profesional";"Gipuzkoa";NA;NA;"Diputada. Coordinadora de Ezker Anitza-IU Euskadi. Portavoz de la Comisión para las Políticas Integrales de la Discapacidad desde el 28/09/2016 al 05/03/2019.";"55-59"
"Carlos Casimiro, Salvador Armendániz";"Hombre";1966;"UPN-PP";"Casado/a";"Educación Superior";"Navarra";NA;NA;"Diputado. Director Delegación Aón Pamplona. Portavoz de la Comisión de Asuntos Exteriores desde el 13/09/2016 al 05/03/2019.";"50-54"
"Luis Miguel, Salvador García";"Hombre";1963;"Ciudadanos";"Casado/a";"Educación Superior";"Granada";NA;NA;"Diputado. Portavoz de C's en el Ayuntamiento de Granada.Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Cooperación Internacional para el Desarrollo desde el 14/09/2016 al 05/03/2019.";"55-59"
"Jordi, Salvador i Duch";"Hombre";1964;"Esquerra Republicana";"Divorciado/a";"Educación Superior";"Tarragona";NA;NA;"Diputado. Militante UGT. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 19/01/2017 al 05/03/2019.";"55-59"
"Tania, Sánchez Melero";"Mujer";1979;"Podemos";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Concejala de gobierno en Rivas (2007-2011). Diputada en la Asamblea de Madrid (2011-2015). Vocal de la Comisión de Defensa desde el 13/09/2016 al 05/03/2019.";"40-44"
"Javier, Sánchez Serna";"Hombre";1985;"Podemos";"Soltero/a";"Educación Superior";"Murcia";NA;NA;"Diputado. Miembro del Consejo Ciudadano Estatal de Podemos. Portavoz en la Comisión de Educación y Deporte.Secretario Primero de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";"30-34"
"Alicia, Sánchez-Camacho Pérez";"Mujer";1967;"PP";"Divorciado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. efa Provincial de Trabajo en Girona. Subdirectora General de Formación Profesional. Directora del Instituto de Seguridad e Higiene en el Trabajo. Trabajadora del Banco de Sabadell. 
Diputada en el Parlament por Girona. Presidenta del Grupo Parla";"50-54"
"María de la Concepción de, Santa Ana Fernández";"Mujer";1973;"PP";"Divorciado/a";"Educación Superior";"Granada";NA;NA;"Diputada. Miembro Titular de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa.";"45-49"
"Eduardo, Santos Itoiz";"Hombre";1973;"Podemos";"Soltero/a";"Educación Superior";"Navarra";NA;NA;"Diputado. Parlamentario Foral en Navarra. Portavoz de la Comisión de Justicia desde el 28/07/2017 al 05/03/2019.";"45-49"
"David, Serrada Pariente";"Hombre";1977;"PSOE";"Casado/a";"Educación Superior";"Salamanca";NA;NA;"Diputado. Vicesecretario General del PSOE Salamanca. Vocal Suplente de la Diputación Permanente. Miembro de la Delegación española en la Conferencia para la PESC/PCSD.";"40-44"
"María Jesús, Serrano Jiménez";"Mujer";1970;"PSOE";"Divorciado/a";"Educación Superior";"Córdoba";NA;NA;"Diputada. Abogada y técnica de la Mancomunidad del Guadajoz y Campiña Este. Portavoz de la Comisión de Política Territorial y Función Pública desde el 06/07/2018 al 05/03/2019. ";"45-49"
"Marta, Sibina i Camps";"Mujer";1973;"Podemos";"Casado/a";"Educación Superior";"Girona";NA;NA;"Diputada. Activista por la sanidad pública. Fundadora de la revista Cafèambllet. Miembro de la Delegación española en la Conferencia sobre Estabilidad, Coordinación Económica y Gobernanza en la Unión Europea (CECEG).";"45-49"
"Felipe Jesús, Sicilia Alférez";"Hombre";1979;"PSOE";"Casado/a";"Educación Superior";"Jaén";NA;NA;"Diputado. Secretario de Comunicación, Acción electoral y Programa del PSOE de Jaén. Vocal de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Vicepresidente de la Delegación española ";"40-44"
"Rafael, Simancas Simancas";"Hombre";1966;"PSOE";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Miembro del Comité Federal del PSOE. Vocal de la Diputación Permanente. Portavoz adjunto de la Junta de Portavoces desde el 20/06/2017 al 05/03/2019.";"50-54"
"Ricardo, Sixto Iglesias";"Hombre";1967;"Podemos";"No Consta";"Educación Superior";"Valencia";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1).";"50-54"
"Marta, Sorlí Fresquet";"Mujer";1986;"C-P-EUPV";"Divorciado/a";"Educación Superior";"Castellón";NA;NA;"Diputada. Secretaria Segunda de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019. Portavoz adjunta de la Comisión de Derechos de la Infancia y Adolescencia desde el 28/09/2016 al 05/03/2019.";"30-34"
"Eloy, Suárez Lamata";"Hombre";1962;"PP";"Casado/a";"Educación Superior";"Zaragoza";NA;NA;"Diputado. Portavoz del Grupo Municipal del PP en el Ayuntamiento de Zaragoza. Vocal Suplente de la Diputación Permanente. ";"55-59"
"Susana, Sumelzo Jordán";"Mujer";1969;"PSOE";"Divorciado/a";"Educación Superior";"Zaragoza";NA;NA;"Diputada. Vocal de la Diputación Permanente. Portavoz Sustituto de la Junta de Portavoces desde el 19/06/2018 al 05/03/2019. ";"50-54"
"Ana María, Surra i Spadea";"Mujer";1952;"Esquerra Republicana";"Divorciado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Secretaria Segunda de la Comisión de Cooperación Internacional para el Desarrollo desde el 14/09/2016 al 05/03/2019. Portavoz de la Comisión de Cooperación Internacional para el Desarrollo desde el 14/09/2016 al 05/03/2019.Secretaria Segunda de ";"65-69"
"Joan, Tardà i Coma";"Hombre";1953;"Esquerra Republicana";"Soltero/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Vocal de la Diputación Permanente. Portavoz Titular de la Junta de Portavoces desde el 02/08/2016 al 05/03/2019. Portavoz de la Comisión Constitucional desde el 12/09/2016 al 05/03/2019. Portavoz de la Comisión de Asuntos Exteriores desde el 13/";"65-69"
"Ricardo, Tarno Blanco";"Hombre";1966;"PP";"Casado/a";"No consta";"Sevilla";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente. Presidente de la Delegación española en la Asamblea Parlamentaria de la OTAN. ";"50-54"
"Vicente, Ten Oliver";"Hombre";1966;"Ciudadanos";"Casado/a";"Educación Superior";"Valencia";NA;NA;"Diputado. Portavoz adjunto de la Comisión de Hacienda desde el 21/06/2018 al 05/03/2019. Portavoz de la Comisión de Presupuestos desde el 13/09/2016 al 05/03/2019. Secretario Segundo de la Comisión de Economía y Empresa desde el 13/09/2018 al 05/03/2019.";"50-54"
"Ana Belén, Terrón Berbel";"Mujer";1983;"Podemos";"Soltero/a";"Educación Superior";"Granada";NA;NA;"Diputada. Portavoz del Consejo Ciudadano de Granada. Portavoz adjunta en la Comisión de Servicios Sociales. Vicepresidenta segunda en la Comisión de Cooperación. ";"35-39"
"José Andrés, Torres Mora";"Hombre";1960;"PSOE";"Casado/a";"Educación Superior";"Málaga";NA;NA;"Diputado.  Miembro Suplente de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP). Portavoz de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019. ";"55-59"
"Ignacio, Tremiño Gómez";"Hombre";1966;"PP";"Casado/a";"Educación Superior";"Valladolid";NA;NA;"Diputado. Director General de Discapacidad del Ministerio de Sanidad, Servicios Sociales e Igualdad. Director del Real Patronato sobre Discapacidad. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1).";"50-54"
"Victoria Begoña, Tundidor Moreno";"Mujer";1963;"PSOE";"Casado/a";"Educación Superior";"Málaga";NA;NA;"Diputada. Enfermera del Hospital Universitario de Málaga. Delegada territorial de Igualdad, Salud y Política Social. Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";"55-59"
"Ignacio, Urquizu Sancho";"Hombre";1978;"PSOE";"Casado/a";"Educación Superior";"Teruel";NA;NA;"Diputado. Miembro de la Ejecutiva Regional del PSOE-Aragón. Colaborador de medios de comunicación ELPAIS, ElDiario.es. Portavoz adjunto de la Comisión de Ciencia, Innovación y Universidades desde el 09/07/2018 al 05/03/2019.";"40-44"
"Carmen, Valido Pérez";"Mujer";1963;"Podemos";"Soltero/a";"Educación Superior";"Las Palmas";NA;NA;"Diputada. Delegada de personal Agencia de Protección del Medio Urbano y Natural del Gobierno de Canarias.Portavoz adjunta de la Comisión de Defensa desde el 14/03/2017 al 05/03/2019.";"55-59"
"Silvia, Valmaña Ochaíta";"Mujer";1963;"PP";"Casado/a";"Educación Superior";"Guadalajara";NA;NA;"Diputada. Vicesecretaria de Acción Sectorial del Partido Popular de Guadalajara. Vicesecretaria de Acción Política del Partido Popular de Castilla-La Mancha. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). ";"55-59"
"Ana Belén, Vázquez Blanco";"Mujer";1975;"PP";"Soltero/a";"Educación Superior";"Ourense";NA;NA;"Diputada. Coordinadora de Participación del PP de Ourense. Miembro del Comité Ejecutivo Provincial y de la Junta Directiva Nacional.";"40-44"
"Josep, Vendrell Gardeñes";"Hombre";1968;"Podemos";"Divorciado/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Secretario General de Iniciativa per Catalunya Verds. Vocal de la Diputación Permanente. Portavoz Sustituto de la Junta de Portavoces desde el 26/08/2016 al 05/03/2019.";"50-54"
"Juan Carlos, Vera Pró";"Hombre";1955;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Coordinador de Organización del Partido Popular. Secretario General de la Gestora del PP de Madrid. Secretario del Comité Nacional de Derechos y Garantías del PP. Vocal del Comité Ejecutivo Nacional del PP. Vocal Suplente de la Diputación Perman";"60-64"
"Noelia, Vera Ruíz-Herrera";"Mujer";1985;"Podemos";"Soltero/a";"Educación Superior";"Cádiz";NA;NA;"Diputada, Vocal de la Diputación Permanente. Portavoz de la Comisión Mixta Control Parlamentario de la Corporación RTVE y sus Sociedades desde el 16/11/2016 al 05/03/2019. ";"30-34"
"Aina, Vidal Saéz";"Mujer";1985;"Podemos";"Soltero/a";"No consta";"Barcelona";NA;NA;"Diputada. Afiliada a Joves d'Esquerra Verda desde 2005. Miembro del Consejo Nacional de ICV. Afiliada a Comisiones Obreras. Portavoz adjunta de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";"30-34"
"Raimundo, Viejo Viñas";"Hombre";1969;"Podemos";"Divorciado/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Vicepresidente Segundo de la Comisión de Asuntos Exteriores desde el 08/03/2017 al 05/03/2019. ";"50-54"
"Miguel, Vila Gómez";"Hombre";1984;"Podemos";"Soltero/a";"Educación Superior";"Burgos";NA;NA;"Diputado. Activista de movimientos sociales. Delegado sindical. Consejero Ciudadano de Podemos CM.Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1).";"35-39"
"Celia, Villalobos Talero";"Mujer";1949;"PP";"Casado/a";"No consta";"Málaga";NA;NA;"Diputada. Alcaldesa. Ministra. Presidenta de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 28/09/2016 al 05/03/2019.";"70-74"
"José Manuel, Villegas Pérez";"Hombre";1968;"Ciudadanos";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Vicesecretario General de Ciudadanos.Vocal de la Diputación Permanente. Secretario Primero de la Comisión Constitucional desde el 16/11/2016 al 05/03/2019. Portavoz de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al ";"50-54"
"Miguel Ángel, Viso Dièguez";"Hombre";1971;"PP";"Casado/a";"Educación Superior";"Ourense";NA;NA;"Diputado. Secretario C.O.I.T.A. Ingeniero Técnico en la Xunta de Galicia (medio rural).Vicepresidente Segundo de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";"45-49"
"Jordi, Xucià i Costa";"Hombre";1973;"PdeCat";"Casado/a";"Educación Superior";"Girona";NA;NA;"Diputado. Presidente de la Fundació Llibertat i Democràcia (sección catalana de la Internacional Liberal) y Vicepresidente de la Internacional Liberal.Vocal Suplente de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea Pa";"45-49"
"Juan Pedro, Yilanes Suárez";"Hombre";1960;"Podemos";"Divorciado/a";"Educación Superior";"Islas Baleares";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente. Adscrito de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019. Portavoz de la Comisión calidad democrática, contra corrupción y reform. inst. y leg. desde el 28/09/2016";"55-59"
"José, Zaragoza Alonso";"Hombre";1961;"PSOE";"Divorciado/a";"No consta";"Barcelona";NA;NA;"Diputado. Vocal de la Diputación Permanente.Vicepresidente Primero de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Miembro Titular de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP).";"55-59"
"Juan Ignacio, Zoido Álvarez";"Hombre";1957;"PP";"Casado/a";"Educación Superior";"Sevilla";NA;NA;"Diputado. Ministro del Interior. Magistrado-Juez Decano de Sevilla, años 1992-1996. Vocal de la Diputación Permanente. Presidente de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al 05/03/2019. ";"60-64"
"Ana María, Zurita Expósito";"Mujer";1963;"PP";"Casado/a";"Educación Superior";"Santa Cruz de Tenerife";NA;NA;"Diputada. Consejera del Cabildo de Tenerife. Coordinadora Regional de Infraestructuras, Territorio y Medio Ambiente del PP de Canarias.Portavoz de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";"55-59"
"José Luis, Ábalos Mecos";"Hombre";1959;"PSOE";"Casado/a";"Educación Superior";"Valencia";NA;NA;"Diputado. Secretario General del PSPV-PSOE de la provincia de Valencia. Jefe de Gabinete del Delegado del Gobierno CV (1983-1987). Jefe de Gabinete del Conseller de Trabajo GV (1988-1991). Director Cooperación Internacional GV (1989-1992). Asesor del Ayun";"60-64"
"Alfonso, Alonso Aranegui";"Hombre";1967;"PP";"Casado/a";"Educación Superior";"Álava";NA;NA;"Diputado. Presidente del Partido Popular del País Vasco";"50-54"
"María Carmen, Álvarez-Arenas Cisneros";"Mujer";1948;"PP";"Viudo/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Vocal del Consejo Ejecutivo Regional del PP de Madrid. Viceconsejera de Presidencia de la Comunidad de Madrid (1995-1999).Senadora por la Comunidad Autónoma de Madrid (1999-2003). Viceconsejera de Empleo y Mujer de la Comunidad de Madrid (2005-2";"70-74"
"Matilde Pastora, Asian González";"Mujer";1955;"PP";"No Consta";"Educación Superior";"Las Palmas";NA;NA;"Diputada. Presidenta Zona Especial Canarias. Viceconsejera de Economía y Asuntos Económicos con la Unión Europea en el Gobierno de Canarias. ";"60-64"
"Pedro María, Azpiazu Uriarte";"Hombre";1957;"EAJ-PNV";"Casado/a";"Educación Superior";"Bizkaia";NA;NA;"Diputado. Portavoz de la Comisión de Hacienda y Administraciones Públicas desde el 13/09/2016 al 28/11/2016. Portavoz de la Comisión de Industria, Energía y Turismo desde el 14/09/2016 al 28/11/2016.";"60-64"
"Meritxell, Batet Lamaña";"Mujer";1973;"PSOE";"No Consta";"Educación Superior";"Barcelona";NA;NA;"Diputada. Ministra de Política Territorial y Función Pública desde el 7 de junio de 2018.";"45-49"
"Francisco Martín, Bernabé Pérez";"Hombre";1970;"PP";"Casado/a";"Educación Superior";"Murcia";NA;NA;"Diputado. Alcalde del municipio de La Unión (2007-2014) Consejero de Fomento e Infraestructuras de la Región de Murcia (2014-2016) Diputado en la Asamblea Regional de Murcia (2015). Vocal de la Comisión Nacional de Medio Ambiente de la Federación Española";"45-49"
"Ana María, Botella Gómez ";"Mujer";1958;"PSOE";"No Consta";"Educación Superior";"Valencia";NA;NA;"Diputada. Concejal del Ayuntamiento de Valencia (2007-2010). Delegada del Gobierno en la Comunitat Valenciana (2010-2011). Secretaria de Sectores Productivos y Empleo de la Comisión Ejecutiva Nacional del PSPV-PSOE. Vicepresidenta Primera de la Comisión d";"60-64"
"Juan, Bravo Baena";"Hombre";1974;"PP";"Casado/a";"Educación Superior";"Ceuta";NA;NA;"Diputado. Delegado de la AEAT en Ceuta y Delegado del Ministerio de Hacienda en Ceuta.Portavoz de la Comisión de Economía y Empresa desde el 21/06/2018 al 09/07/2018.";"45-49"
"Tomás, Burgos Gallego";"Hombre";1962;"PP";"Soltero/a";"No consta";"Valladolid";NA;NA;"Diputado. Procurador Regional de las Cortes de Castilla y León (1987-1993). Secretario de Estado de la Seguridad Social (2012-2016).";"55-59"
"Eloísa María, Cabrera Carmona";"Mujer";1971;"PP";"No Consta";"Educación Superior";"Almería";NA;NA;"Diputada. Concejal del Ayuntamiento de Roquetas del Mar desde 1999. En la actualidad, Primer Teniente de Alcalde. Portavoz adjunta de la Comisión de Industria, Energía y Turismo desde el 14/09/2016 al 28/11/2016.";"45-49"
"Alfonso, Candón Adán";"Hombre";1969;"PP";"Casado/a";"Educación Superior";"Cádiz";NA;NA;"Diputado. Presidente del PP del Puerto de Santa María. Vicesecretario Provincial de Ideas y Programas. Secretario PP autonómico de ONG's. 
Portavoz adjunto en la Comisión de Defensa en la X Legislatura.";"50-54"
"Ester, Capella i Farré";"Mujer";1963;"Esquerra Republicana";"No Consta";"Educación Superior";"Barcelona";NA;NA;"Diputada.Vocal Suplente de la Diputación Permanente desde el 18/08/2016. al 01/06/2018. Portavoz de la Comisión de Justicia desde el 13/09/2016 al 01/06/2018. Secretaria Segunda de la Comisión de Justicia desde el 13/09/2016 al 01/06/2018. Adscrita de la ";"55-59"
"María Dolores, de Cospedal García";"Mujer";1965;"PP";"Casado/a";"Educación Superior";"Toledo";NA;NA;"Diputada. Presidenta de la Junta de Comunidades de Castilla La-Mancha. Diputada autonómica en las Cortes de Castilla La-Mancha en tres legislaturas. Representante del Estado español en la elaboración del Código de Derecho Administrativo. Ministra de Defen";"50-54"
"Francesc Xavier, Domenech Sampere";"Hombre";1974;"Podemos";"No Consta";"Educación Superior";"Barcelona";NA;NA;"Diputado. Portavoz adjunto de la Junta de Portavoces desde el 02/08/2016 al 17/01/2018. Portavoz adjunto de la Comisión Constitucional desde el 12/09/2016 al 17/01/2018";"45-49"
"Íñigo, Errejón Galván";"Hombre";1983;"Podemos";"No Consta";"Educación Superior";"Madrid";NA;NA;"Diputado. Secretario Político de Podemos. Vocal de la Diputación Permanente desde el 18/08/2016 al 21/01/2019.";"35-39"
"José Enrique, Fernández de Moya Romero";"Hombre";1969;"PP";"Casado/a";"Educación Superior";"Jaén";NA;NA;"Diputado. Presidente provincial del PP de Jaén. Portavoz Adjunto del GPP-A y portavoz en la Diputación Provincial de Jaén.";"50-54"
"María del Puerto, Gallego Arriola";"Mujer";1963;"PSOE";"No Consta";"Educación Superior";"Cantabria";NA;NA;"Diputada. Secretaria General de la Agrupación Socialista de Santoña. Secretaria de Sanidad y BS de la Comisión Ejecutiva Regional del Cantabria.";"55-59"
"Irene, Garrido Valenzuela";"Mujer";1966;"PP";"No Consta";"Educación Superior";"Pontevedra";NA;NA;"Diputada. Portavoz de la Comisión de Economía y Competitividad desde el 12/09/2016 al 18/11/2016. Presidenta de la Delegación española en la Conferencia sobre Estabilidad, Coordinación Económica y Gobernanza en la Unión Europea (CECEG) desde el 20/07/2016";"50-54"
"Manuel Gabriel, González Ramos ";"Hombre";1966;"PSOE";"No Consta";"Educación Superior";"Albacete";NA;NA;"Diputado. Secretario General Provincial del PSOE de Albacete.";"50-54"
"Francesc, Homs Molist";"Hombre";1969;"PdeCat";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Vicesecretario General de Convergencia Democrática de Catalunya. ";"50-54"
"Ángeles, Isaac García";"Mujer";1962;"PP";"No Consta";"Educación Superior";"Jaén";NA;NA;"Diputada. Presidenta del Partido Popular de Linares. Concejal y Portavoz del Grupo Municipal en el Excmo. Ayuntamiento de Linares.";"55-59"
"Teresa, Jordá i Roura";"Mujer";1972;"Esquerra Republicana";"No Consta";"Educación Superior";"Girona";NA;NA;"Diputada. Portavoz de la Comisión de Fomento desde el 13/09/2016 al 01/06/2018. Secretaria Segunda de la Comisión de Igualdad desde el 14/09/2016 al 01/06/2018.";"45-49"
"José María, Lasalle Ruíz";"Hombre";1966;"PP";"No Consta";"Educación Superior";"Cantabria";NA;NA;"Diputado. Miembro del Comité ejecutivo Nacional del PP desde 2004 a la actualidad.";"50-54"
"Julián, López Mila ";"Hombre";1971;"PSOE";"Divorciado/a";"Educación Superior";"Alicante";NA;NA;"Diputado. Portavoz de la Comisión de Hacienda y Función Pública desde el 19/12/2016 al 14/11/2017.";"45-49"
"Domingo, Lorento Rodríguez";"Hombre";1954;"Ciudadanos";"Casado/a";"Educación Superior";"Castellón";NA;NA;"Diputado. Director de Seguridad. ";"65-69"
"Eduardo, Madina Muñoz";"Hombre";1976;"PSOE";"No Consta";"Educación Superior";"Madrid";NA;NA;"Diputado. Miembro del Comité Federal del PSOE. Vicepresidente de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP) desde el 15/02/2017 al 31/08/2017.";"40-44"
"María Rosa, Martínez Rodríguez";"Mujer";1975;"Podemos";"No Consta";"Educación Superior";"Bizkaia";NA;NA;"Diputada. Portavoz de EQUO. Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 10/07/2018 al 15/02/2019. ";"40-44"
"Teófila, Martínez Saiz";"Mujer";1984;"PP";"Casado/a";"Educación Superior";"Cádiz";NA;NA;"Diputada. Presidenta de la Comisión de Educación y Deporte desde el 13/09/2016 al 21/06/2018.";"35-39"
"Pablo, Matos Mascareño";"Hombre";1956;"PP";"Divorciado/a";"Educación Superior";"Santa Cruz de Tenerife";NA;NA;"Diputado. Vicepresidente Primero de la Comisión de Justicia desde el 13/09/2016 al 29/06/2018.";"60-64"
"Rafael, Merino López";"Hombre";1959;"PP";"No Consta";"Educación Superior";"Córdoba";NA;NA;"Diputado. Presidente de la Comisión de Interior desde el 13/09/2016 al 11/09/2018.";"60-64"
"Jorge, Moragas Sánchez";"Hombre";1965;"PP";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Director del Gabinete Presidencia del Gobierno. Secretario del Consejo de Seguridad Nacional. Miembro del Comité Ejecutivo Nacional PP España. Vicesecretario General PP Cataluña.";"50-54"
"José Antonio, Nieto Ballesteros";"Hombre";1979;"PP";"Casado/a";"Educación Superior";"Córdoba";NA;NA;"Diputado. Diputado provincial (Córdoba) (1999-2004). Diputado en el Parlamento de Andalucía (2008-2014). Alcalde de Córdoba (2011-2015).";"40-44"
"Mariano, Rajoy Brey";"Hombre";1955;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Sexto Presidente del Gobierno de España. Presidente del Partido Popular desde 2004.Vocal de la Diputación Permanente desde el 18/08/2016 al 15/06/2018. Cargos en la Xunta de Galicia durante su carrera. ";"60-64"
"Alejandro, Ramírez del Molino Morán";"Hombre";1951;"PP";"Casado/a";"Educación Superior";"Badajoz";NA;NA;"Diputado. Delegado del Gobierno en Extremadura. ";"65-69"
"Margarita, Robles Fernández";"Mujer";1956;"PSOE";"No Consta";"Educación Superior";"Madrid";NA;NA;"Diputada. Ex Ministra de Defensa. Vocal de la Diputación Permanente desde el 04/07/2017 al 15/06/2018.";"60-64"
"María Soraya, Saénz de Santamaría Antón";"Mujer";1971;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Abogada del Estado. Miembro del Comité Ejecutivo Nacional del Partido Popular. Vicepresidente del Gobierno, Ministra de la Presidencia y para las Administraciones Territoriales.";"45-49"
