"NOMBRE";"SEXO";"AÑO.DE.NACIMIENTO";"G.PARLAMENTARIO";"ECIVIL";"NIVEL.ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"RANGO.EDAD"
"Maria Aurora, Flórez Rodríguez";"Mujer";1974;"PSOE";"Casado/a";"Educación Superior";"León";NA;NA;"Diputada. Portavoz adjunta de la Comisión para las Políticas Integrales de la Discapacidad desde el 01/07/2017 al 05/03/2019.";"45-49"
"Carlos Javier, Floriano Corrales";"Hombre";1967;"PP";"Casado/a";"Educación Superior";"Cáceres";NA;NA;"Diputado. Vocal de la Diputación Permanente.Portavoz adjunto de la Comisión de Economía y Empresa desde el 21/06/2018 al 05/03/2019.";"50-54"
"Isabel, Franco Carmona";"Mujer";1985;"Podemos";"Soltero/a";"Educación Superior";"Huelva";NA;NA;"Diputada. Consejo Ciudadano Estatal (Podemos). Consejo Ciudadano de Sevilla (Podemos). ILP Renta Básica. Sindicato Andaluz de Trabajadores. Portavoz de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";"30-34"
"Sebastián, Franquis Vera";"Hombre";1961;"PSOE";"Divorciado/a";"Educación Superior";"Las Palmas";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Industria, Comercio y Turismo desde el 21/06/2018 al 05/03/2019.";"55-59"
"Óscar, Galeano García";"Hombre";1976;"PSOE";"Casado/a";"Educación Superior";"Zaragoza";NA;NA;"Diputado. Agrupación Socialista Centro 1 Zaragoza. Miembro Comité Local.Secretario Primero de la Comisión de Hacienda desde el 21/06/2018 al 05/03/2019.";"40-44"
"Maria Dolores, Galovart Carrera";"Mujer";1955;"PSOE";"Casado/a";"Educación Superior";"Pontevedra";NA;NA;"Diputada. Portavoz del GPS en la Comisión Mixta de Relaciones con el Defensor del Pueblo.";"60-64"
"Óscar, Gamazo Micó";"Hombre";1976;"PP";"Soltero/a";"Educación Superior";"Valencia";NA;NA;"Diputado. Portavoz de la Comisión sobre Seguridad Vial y Movilidad Sostenible desde el 01/12/2016 al 05/03/2019.";"40-44"
"Miguel Ángel, Garaulet Rodríguez";"Hombre";1968;"Ciudadanos";"Casado/a";"Educación Superior";"Murcia";NA;NA;"Diputado. Portavoz de la Comisión de Fomento desde el 07/10/2016 al 05/03/2019. Portavoz de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";"50-54"
"José Ramón, García Cañal";"Hombre";1957;"PP";"Casado/a";"Educación Superior";"Asturias";NA;NA;"Diputado. Vicepresidente Primero de la Comisión de Transición Ecológica desde el 21/06/2018 al 05/03/2019.";"60-64"
"Joaquín María, García Díez";"Hombre";1954;"PP";"Casado/a";"Educación Superior";"Lugo";NA;NA;"Diputado. Miembro Suplente de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP). Portavoz de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";"65-69"
"Teodoro, García Egea";"Hombre";1985;"PP";"Casado/a";"Educación Superior";"Murcia";NA;NA;"Diputado. Vocal de la Diputación Permanente. ";"30-34"
"Jose Ramón, García Hernández";"Hombre";1971;"PP";"Casado/a";"Educación Superior";"Ávila";NA;NA;"Diputado. Secretario Ejecutivo de Relaciones Internacionales y Miembro del Comité Ejecutivo Nacional del Partido Popular. Vocal Suplente de la Diputación Permanente. Vicepresidente Segundo de la Delegación española en la Asamblea Parlamentaria del Consejo";"45-49"
"Ricardo Antonio, García Mira";"Hombre";1956;"PSOE";"Divorciado/a";"Educación Superior";"A Coruña";NA;NA;"Diputado. Portavoz de la Comisión de Transición Ecológica desde el 21/06/2018 al 05/03/2019.";"60-64"
"María del Mar, García Puig";"Mujer";1977;"Podemos";"Divorciado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Vocal Suplente de la Diputación Permanente. Presidenta de la Comisión de Derechos de la Infancia y Adolescencia desde el 28/09/2016 al 05/03/2019.";"40-44"
"Eva, García Sempere";"Mujer";1976;"Podemos";"Casado/a";"Educación Superior";"Málaga";NA;NA;"Diputada. Coordinadora Federal del Área de Medio Ambiente en Izquierda Unida.";"40-44"
"Isabel, García Tejerina";"Mujer";1968;"PP";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Ministra de Agricultura y Pesca, Alimentación y Medio Ambiente. Vocal de la Diputación Permanente. Vicepresidenta Primera de la Comisión para la evaluación y la modernización del Estado autonómico desde el 13/09/2018 al 05/03/2019.";"50-54"
"Jose Manuel, García-Margallo y Marfil";"Hombre";1944;"PP";"Casado/a";"Educación Superior";"Alicante";NA;NA;"Diputado. Ministro de Asuntos Exteriores y Cooperación. Vocal Suplente de la Diputación Permanente. Presidente de la Comisión Mixta de Seguridad Nacional desde el 16/11/2016 al 05/03/2019. ";"75-79"
"María José, García-Pelayo Jurado";"Mujer";1968;"PP";"Casado/a";"Educación Superior";"Cádiz";NA;NA;"Diputada. Concejala del Ayuntamiento de Jerez. Miembro Titular de la Delegación española en la Asamblea Parlamentaria de la OTAN. Vicepresidenta Segunda de la Comisión de Justicia desde el 11/09/2018 al 05/03/2019.";"50-54"
"Arturo, García-Tizón López";"Hombre";1946;"PP";"Casado/a";"Educación Superior";"Toledo";NA;NA;"Diputado. Abogacía del Estado del Tribunal Supremo. Presidente de la Comisión de Economía y Competitividad en el Congreso de los Diputados, Vocal de la Comisión de Justicia y Vocal de la Comisión de Defensa. Miembro titular de la Delegación Española en la";"70-74"
" Alberto, Garzón Espinosa";"Hombre";1985;"Podemos";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Militante de Izquierda Unida. Activista y miembro del Consejo Científico de ATTAC-España.Vocal de la Diputación Permanente. Portavoz de la Comisión de Política Territorial y Función Pública desde el 11/07/2018 al 05/03/2019.";"30-34"
"Juan Carlos, Girauta Vidal";"Hombre";1961;"Ciudadanos";"Soltero/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Miembro del Comité Ejecutivo de Ciudadanos. Vocal de la Diputación Permanente. Secretario Segundo de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al 05/03/2019.";"55-59"
"Marcial, Gómez Balsera";"Hombre";1972;"Ciudadanos";"Casado/a";"Educación Superior";"Córdoba";NA;NA;"Diputado. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). Portavoz de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 28/09/2016 al 05/03/2019. Secretario Segundo de la Comisión de Inve";"45-49"
"Rodrigo, Gómez García";"Hombre";1980;"Ciudadanos";"Divorciado/a";"Educación Superior";"Zaragoza";NA;NA;"Diputado. Vicepresidente Segundo de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";"35-39"
"Antonio, Gómez-Reino Varela";"Hombre";1980;"Podemos";"Soltero/a";"2ª Etapa E.Secundaria con O.Profesional";"A Coruña";NA;NA;"Diputado. Activista social.Consello Cidadán de Podemos Galicia. Vocal de la Diputación Permanente. Miembro Titular de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP). Secretario Segundo de la Comisión Constitucional desde el 08/";"35-39"
"Josefa Inmaculada, González Bayo";"Mujer";1966;"PSOE";"Soltero/a";"Educación Superior";"Huelva";NA;NA;"Diputada. Vicepresidenta Segunda de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";"50-54"
"Segundo, González García";"Hombre";1988;"Podemos";"Soltero/a";"Educación Superior";"Asturias";NA;NA;"Diputado. Responsable de Finanzas y Transparencia en Podemos. Miembro del Consejo Ciudadano Estatal y del Consejo Ciudadano Autonómico de Asturies. ";"30-34"
"María del Carmen, González Guinda";"Mujer";1961;"PP";"Casado/a";"Educación Superior";"León";NA;NA;"Diputada. Alcaldesa de Garrafe de Torío (León). Vicesecretaria provincial.";"55-59"
"Ángel Luis, González Muñoz";"Hombre";1979;"PP";"Casado/a";"Educación Superior";"Málaga";NA;NA;"Diputado. Portavoz del Gobierno del Ayuntamiento de Antequera. Coordinador Territorial Nacional PP. Vocal Suplente de la Diputación Permanente.";"40-44"
